trueClass,count,mean,std,min,25%,50%,75%,max
N1,39.0,0.7925641025641026,0.08547169271993071,0.611,0.727,0.81,0.8614999999999999,0.916
N2,39.0,0.8593333333333334,0.04586784984194057,0.761,0.8334999999999999,0.871,0.8935,0.936
N3,32.0,0.87959375,0.04488254159829389,0.771,0.848,0.8885000000000001,0.9145000000000001,0.942
N4,42.0,0.8135238095238093,0.06812980369109561,0.71,0.75975,0.7975000000000001,0.88075,0.928
N5,24.0,0.8286249999999998,0.08232270144931494,0.624,0.78025,0.8214999999999999,0.865,0.967
N6,59.0,0.8188983050847458,0.14109152017766075,0.341,0.7945,0.846,0.9115,0.979
N7,81.0,0.7284567901234569,0.20507547692146885,0.206,0.603,0.778,0.891,0.982
N8,49.0,0.7689795918367347,0.05333873271988439,0.655,0.747,0.767,0.798,0.892
N9,27.0,0.8361851851851853,0.05691967149280644,0.647,0.8025,0.845,0.8755,0.919
