time_ms,N1,N2,N3,N4,N5,N6,N7,N8,N9,activity,rawWinner,stableWinner,score,trueClass,correct
183601,622,627,560,711,951,997,836,963,639,205.59,N6,N6,0.8,N6,True
183697,697,648,541,710,957,1000,859,972,603,218.81,N6,N6,0.779,N6,True
183793,756,667,523,607,947,1002,853,970,654,221.92,N6,N6,0.766,N6,True
183889,560,634,564,577,891,996,753,957,561,165.87,N6,N6,0.809,N6,True
183985,620,614,657,680,897,994,761,954,556,185.96,N6,N6,0.805,N6,True
184081,654,594,617,657,904,994,810,945,567,186.96,N6,N6,0.805,N6,True
184177,698,572,569,632,924,996,778,938,579,180.74,N6,N6,0.828,N6,True
184273,742,556,513,606,921,998,752,946,592,187.46,N6,N6,0.809,N6,True
184369,540,508,574,545,774,982,648,756,567,118.91,N6,N6,0.911,N6,True
184465,497,603,618,476,638,966,633,829,500,128.02,N6,N6,0.708,N6,True
184561,579,639,548,626,537,944,674,820,572,110.26,N8,N6,0.621,N6,True
184657,688,589,451,547,532,932,650,771,517,111.49,N8,N6,0.599,N6,True
184753,689,534,635,446,561,694,604,698,580,75.53,N8,N6,0.495,N6,True
184849,674,476,556,626,625,481,534,473,525,57.21,N4,N6,0.383,N6,True
184945,650,648,454,549,558,645,457,648,586,65.97,N1,N6,0.341,N6,True
185041,621,587,627,439,460,576,639,583,536,54.97,N2,N6,0.413,N6,True
185329,490,629,624,464,493,584,574,597,598,58.23,N3,N7,0.371,N7,True
185521,649,484,487,537,604,655,562,488,604,53.1,N5,N7,0.595,N7,True
185809,507,542,529,528,622,632,604,431,572,52.33,N5,N7,0.709,N7,True
186001,658,650,526,611,457,515,454,548,581,58.98,N1,N7,0.575,N7,True
186385,490,641,644,524,664,504,491,474,597,68.35,N3,N7,0.507,N7,True
186961,539,488,651,515,456,449,583,506,521,63.39,N3,N7,0.538,N7,True
187057,668,670,585,595,645,631,519,521,584,55.1,N1,N7,0.397,N7,True
187345,550,472,575,605,661,638,582,448,545,55.97,N5,N7,0.72,N7,True
187441,494,660,480,601,605,575,515,616,599,59.52,N9,N7,0.356,N7,True
187633,645,536,570,631,572,641,624,431,603,54.07,N4,N7,0.378,N7,True
187825,545,630,625,486,528,463,457,533,601,59.33,N3,N7,0.66,N7,True
187921,496,565,542,643,575,631,642,426,557,54.39,N4,N7,0.603,N7,True
188113,670,660,616,469,537,456,512,539,560,55.97,N2,N7,0.815,N7,True
188401,546,473,607,455,548,448,564,547,497,52.15,N3,N7,0.303,N7,True
188497,509,640,525,631,453,626,497,457,565,68.85,N4,N7,0.238,N7,True
188689,677,491,592,461,558,437,618,552,564,53.81,N1,N7,0.298,N7,True
188785,644,664,497,611,462,616,550,456,502,66.48,N1,N7,0.471,N7,True
188881,631,618,655,532,652,549,495,649,574,53.75,N3,N7,0.4,N7,True
189073,591,480,493,614,525,647,642,555,585,52.55,N7,N7,0.458,N7,True
189457,506,476,646,524,495,614,669,562,602,65.77,N8,N7,0.301,N7,True
189649,653,606,471,600,607,445,557,648,535,57.1,N1,N7,0.408,N7,True
189841,577,460,559,632,501,561,659,518,505,50.14,N4,N7,0.796,N7,True
189937,535,646,460,595,639,476,615,456,573,64.91,N9,N7,0.428,N7,True
190033,481,586,629,499,573,646,552,621,515,52.37,N6,N7,0.477,N7,True
190129,680,516,555,657,494,586,481,561,579,53.24,N4,N7,0.206,N7,True
